Element,Ingredients,Price,Vegetarian,Vegan,DAIRY FREE,GLUTEN FREE,SOY FREE,SESAME FREE,GARLIC FREE,ONION FREE,CAPSICUM FREE,CHILI FREE,PISTACHIO FREE,WALNUT FREE,ALMOND FREE,PEANUT FREE,TREE NUT FREE,EGG FREE,FISH FREE,SHELLFISH FREE,MUSTARD FREE,SULFITE FREE,CELERY FREE,LUPIN FREE,MOLLUSC FREE,HALAL,NIGHTSHADE FREE
"Pepperoni, mozzarella, stracciatella, fresh oregano","Flour, Pork meat, Salt, Dextrose, Antioxidant E300, Preservatives E250, E252, Fresh Oregano, Pasteurised Cows Milk, Citric acid, Salt, Vegetarian Rennet, Cow milk cream, Milk protein, Modified maize starch E1422, Carboxy methyl cellulose E466, Carrageenan E407, Locust bean gum E410, Lactic acid esters of mono- and diglycerides of fatty acids E472b, Mono- and diglycerides of fatty acids E471, Pasteurized Milk, Salt, Microbial rennet, Lactic cultures, Lactic acid E270, Flour, Water, Salt, Yeast, Canola Oil, Cherry Tomatoes",,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
blue vein pizza,"Flour, Water, Salt, Yeast, Canola Oil, Cows Milk, Salt, Microbial Rennet, Lactic culture P, Roqueforti, Pasteurised Cows Milk, Citric acid, Salt, Vegetarian Rennet, Cow milk cream, Milk protein, Modified maize starch E1422, Carboxy methyl cellulose E466, Carrageenan E407, Locust bean gum E410, Lactic acid esters of mono- and diglycerides of fatty acids E472b, Mono- and diglycerides of fatty acids E471, Pasteurized Milk, Salt, Microbial rennet, Lactic cultures, Lactic acid E270, Unfermented Grape Must, Nectarines, Dill, Extra Virgin Olive Oil",,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
friarielli pizza,"Flour, Water, Salt, Yeast, Canola Oil, Pasteurised Cows Milk, Citric acid, Salt, Vegetarian Rennet, Artichoke, Pork, Salt, Dextrose, Spices extract, Preservative (E250), Tomatoes, Sunflower oil, Sugar, Parsley, Red Pepper, Garlic Powder, Oregano, Acidity regulator (Citric acid E330), Honey, Turnip top, Sunflower oil, Red hot pepper, Powdered garlic, Citric acid E330, Lactic acid E270, Cream, Garlic, Olive Oil, Onion, Carrot, Celery",,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO
"Risotto – slow-cooked duck, mascarpone","Pepper New York Cut, Flaky Sea Salt, Cream, Milk, Thickeners (1442, 407), Acid (330), Carrot, Celery, Onion, Lemongrass, Fresh Ginger, Porcini Mushrooms, Garlic Cloves, Extra Virgin Olive Oil, Risotto Rice, White Wine Vinegar, Cheese, Milk, Salt, Rennet, Preservative (Lysozyme From Egg), Anti-Caking Agent (E460), Duck, Italian Parsley, Prana Sprouts",,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES
"Agnolotti – spinach & ricotta, guanciale, tomato, sweetcorn","Wheat Flour, Eggs, Baby Spinach, Cheese, Milk, Salt, Rennet, Preservative (Lysozyme From Egg), Anti-Caking Agent (E460), Wheat Flour, Yeast, Salt, Palm Oil, Glucose, Yeast Food (contains bulking agent E510), Acidity regulator (E516), Extra Virgin Olive Oil, Whey, Milk, Salt, Acetic Acid, Potassium Sorbate, Chinese Garlic, Butter, Saffron, Pork jowl, Salt, Dextrose, Black pepper, Sodium ascorbate, Natural flavours, Sodium nitrite, Potassium nitrate, Starter cultures, Semidried Tomato, Sunflower Seed Oil, Salt, Sugar, Dried Garlic, Onion, Parsley, Oregano, Antioxidant (Ascorbic Acid), Acidity Regulator (Citric Acid), Basil, Corn",,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO
"Maccheroni – datterino tomato, chilli, marjoram","Tomatoes Datterini, Tomato Juice, Iodised salt, Extra Virgin Olive Oil, Sea Salt, Chili Threads, Marjoram, Macaroni",,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
"Pappardelle – wild boar ragu, pepper, parmigiano","Pork Diced, Semidried Tomato, Sunflower Seed Oil, Salt, Sugar, Dried Garlic, Onion, Parsley, Oregano, Antioxidant (Ascorbic Acid), Acidity Regulator (Citric Acid), Peeled tomatoes, Tomato Juice, Citric acid, Bay Leaves, Red Wine, Preservative (220), Garlic Cloves, Cinnamon Quills, Extra Virgin Olive Oil, Onion, Sage, Oregano, Red Wine Vinegar, Kashmiri Chilli, Ground Cloves, Anchovy Fillets, Salt, Sunflower oil, Cheese, Milk, Salt, Rennet, Preservative (Lysozyme from egg), Anti-caking agent (E460), Pappardelle",,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,NO
"Canestrini – pesto, pine nut, lemon, ricotta","Cheese, Milk, Salt, Rennet, Preservative (Lysozyme from egg), Anti-caking agent (E460), Pine Nuts, Micro Basil, Basil, Garlic, Extra Virgin Olive Oil, Sea Salt, Black Pepper, Sunflower Oil, Walnut, Lemons, Lemon juice, Whey, Milk, Salt, Acetic Acid, Potassium Sorbate",,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES
"Gnocchi – sage & chilli butter, kale, Hazelnut (with pancetta +8)","Sheeps Milk, Salt, Cultures, Lamb Rennet, Garlic, Extra Virgin Olive Oil, Chilli Flakes, Butter, Sage, Sunflower Oil, Sea Salt, Black pepper, Hazelnuts, White Pepper, Nutmeg Powder, Flour, Cheese, Milk, Salt, Rennet, Preservative (Lysozyme from egg), Anti-caking agent (E460), Red Potatoes, Kale",,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
"Market fish, saba aioli, king sweet pepper, celery leaf","Market Fish, Extra Virgin Olive Oil, Sea Salt, Black Pepper, Onion, Celery, Carrot, Garlic, Celeriac, Raddichio, Apples, Raisins, Grain Mustard, Butter Unsalted, Francoli 5yr Grappa, Cinnamon Quills, Caster Sugar, Red Wine Vinegar, Red Onion, Lemon, Prana Sprouts",,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,YES,NO,NO
"Pork meatballs – pomodoro, stracciatella, gremolata","Lemon, Salt, Eggs, Pork Mince, Garlic, Extra Virgin Olive Oil, Black Pepper, Italian Parsley, Ciabatta, Milk, Carrot, Celery, Onion, Cheese, Milk, Salt, Rennet, Preservative (Lysozyme from egg), Anti-caking agent (E460), Basil, Caster Sugar, Peeled tomatoes, Tomato Juice, Citric acid, Oregano, Cow MILK cream, MILK protein, modified maize starch E1422, carboxy methyl cellulose E466, carrageenan E407, locust bean gum E410, lactic acid esters of mono- and diglycerides of fatty acids E472b, mono- and diglycerides of fatty acids E471, pasteurized MILK, Salt, microbial rennet, lactic cultures, lactic acid E270",,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO
Tiramisú,"Cream, Milk, Thickeners (1442, 407), Acid (330), Caster Sugar, Eggs, Grapes, Brandy, Coffee, Wheat Flour, Sugar, Eggs, Glucose Syrup, Raising agent (ammonium hydrogen carbonate), Natural Flavours, Cocoa Powder",,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES
Sorbetti of the moment & olive oil gelato,"Flaky Sea Salt, Organic milk, Olive oil, Glucose, Cane sugar, Dextrose, Milk protein, Salt, Vegetable fats, Fructose, Stabilisers (carrageenan, guar, xanthin gum), Extra Virgin Olive Oil, Strawberries, Water, Cane sugar, Dextrose, Vegetable starch, Vegetable fibre, Fructose, Emulsifier & Stabilisers (carrageenan, guar, xanthin gum)",,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
"Panna cotta, lemon curd, olive oil powder, basil","Cream, Caster Sugar, Lemon, Extra Virgin Olive Oil, Sea Salt, Low Fat Milk, Cultures, Gelatin, Maltodextrin Equagold, Cornflour, Butter Unsalted, Lemon Juice, Micro Basil",,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES
Dark Chocolate Salami,"Cocoa Powder, Hazelnuts, Caster Sugar, Nutella, Unsalted Butter, Pistachio, Cocoa Mass, Sugar, Emulsifier (Soy Lecithin), Vanilla Flavour, Eggs",,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES
Affogato with Frangelico,"Sugar, Alcohol, Hazelnut distillate, Caramel, Coffee, Organic milk, Natural vanilla extract, Glucose, Cane sugar, Dextrose, Milk protein, Vegetable fats, Fructose, Stabilisers (carrageenan, guar, xanthin gum)",,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES
"Chocolate Volcano, Rice pudding gelato, pistachio","Caster Sugar, Cocoa Powder, Unsalted Butter, Flour, Eggs, Cocoa Mass, Sugar, Emulsifier (Soy Lecithin), Vanilla Flavour, Icing Sugar, Pistachio, Organic milk, Cream, Risotto rice, Natural vanilla extract, Glucose, Cane sugar, Dextrose, Milk protein, Vegetable fats, Fructose, Stabilisers (carrageenan, guar, xanthin gum)",,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES
