Item,Ingredients,Price,Vegetarian,Vegan,DAIRY FREE,GLUTEN FREE,SOY FREE,SESAME FREE,GARLIC FREE,ONION FREE,CAPSICUM FREE,CHILI FREE,PISTACHIO FREE,WALNUT FREE,ALMOND FREE,PEANUT FREE,TREE NUT FREE,EGG FREE,FISH FREE,SHELLFISH FREE,WHEAT FREE,MUSTARD FREE,SULFITE FREE,CELERY FREE,LUPIN FREE,MOLLUSC FREE
Cured Fish,"Market Fish, Sea Salt, White Onion, Fermented Apple Cider, Water, Bay Leaf, Mustard Seeds, Vinegar, Salt, Black Pepper, Food acid Acetic, Tumeric, Paprika, Mustard Powder, Mustard Flavour, Mustard extract, Spice extract, Garlic extract, Lemon Juice, Rapeseed Oil, Capers, Spring Onion, Preserved Lemon, Aleppo Pepper, Shallot, Radish, Lemon",,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES
Duck Pastirma,"Frizee Lettuce, Mustard Seeds, Vinegar, Salt, Black Pepper, Duck Fat, Shallot, Sea Salt, Fermented Apple Cider, Water, Honey, Duck Breast, Garlic Powder, Ground Ginger, Coriander, Table salt, Sodium nitrate, Red dye (3), Brown Sugar, Cloves, Fine Salt, Aleppo Pepper, Chili Pepper Flake, Cumin, Garlic, Fenugreek",,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
Mozzarella Boreks,"Sea salt, Garlic, Canola Oil, Lemon Juice, Wheat flour, Water, Cornflour, Canola oil, Salt, Preservative (202), Raising agent (920), Pasteurised Cows Milk, Citric acid, Salt, Vegetarian Rennet, Black Pepper, Thyme, Rapeseed Oil, Black Olives, Colour Stabilizer (ferrous gluconate, sterilized)",,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES
Tursu Salad,"Pomegranate Molasses, Sugar, Sulphites, Glucose, Cornstarch, Salt, Acidity Regulator (Citric Acid), Sea Salt, Walnuts, Oil, Wine vinegar, Concentrated Grape Must, Caramel (150d), Sulfites, Castor Sugar, Rapeseed Oil, Carrot, Fermented Apple Cider, Water, Castor Sugar, Kohlrabi, Fennel, Fine Salt, Sesame Seed White, Aleppo Chili Flake, Cumin, Hazelnut, Coriander, Pistachio, Honey, Chili Flake, Frizee Lettuce",,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES
Charcoal Mushrooms,"Agria Potato, Butter, Spring Onion, Fine Salt, Oyster Mushroom, Shiitake Mushroom, Button Mushroom, Rice Flour, Tapioca Flour, Sunflower Oil, Ground Linseed, Raising Agent (450,500), Apple Cider Vinegar, Stabiliser (412), Yeast, Iodised Salt, Phytocel (Dietary Fibre), Garlic, Lemon Juice, Sea Salt, Almond",,YES,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES
Garlic Pilaf,"Butter, Sea Salt, Chickpea, Garlic, Jasmine Rice, White Onion, Red chilli, Salt, Acidity Regulator (Acetic acid), Preservative (Sodium benzoate), Parsley",,YES,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
Brussel Sprouts,"Brussel Sprouts, Puffed Quinoa, Parsley, Lemon Juice, Red peppers, Water, Vinegar, Sugar, Salt, Firming agent (Calcium Chloride), Kumara, Tomatoes, Canola Oil, Garlic, Rice Flour, Tapioca Flour, Sunflower Oil, Ground Linseed, Raising Agent (450,500), Apple Cider Vinegar, Stabiliser (412), Yeast, Iodised Salt, Phytocel (Dietary Fibre), Brown Sugar, Saffron, Almond, Castor Sugar, Cumin, Chili Flake",,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES
Confit Potato,"Sea Salt, Aleppo Chili Pepper, Agria Potato, Butter, Thyme, Garlic, Black Pepper, Parsley, Yeast Flakes, Rice Flour, Fermented Apple Cider, Water, Lemon Juice, Castor Sugar, Fine Salt, Leek, Rapeseed Oil",,YES,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
Charcoal Lamb Ribs,"Sea Salt, Lamb Ribs, Garlic, Rapeseed Oil, Black Pepper, Fine Salt, Cider Vinegar, Green Chili, Almond, Lemon Juice, Parsley, Yeast Flakes, Rice Flour, Grilled Eggplant, Rapeseed Oil, Honey, Sumac, Rosemary, Black Lime",,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES
Lamb Urfa (Lunch Plate),"Yoghurt, Sea Salt, Parsley, Red Onion, Red vinegar, Antioxidant (224), Garlic, Tomato, Frizee Lettuce, Chickpeas, Persian Dried Black Lime, Ground Cumin, Black Pepper, Rapeseed Oil, Wild Tahr, Olive Oil, Lamb fat, Lamb Mince, Red Bell Pepper Flakes, Red Capsicum, Hummus, Pilaf, Ezmesi, Pita, Green Zhug",,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES
Flank Steak (Lunch Plate),"Beef Flank Steak, Black Pepper, Cumin, Tomatoes, Salt, Paprika, Cinnamon, Thyme, Garlic, Rapeseed Oil, Olive Oil, Fine Salt, Yeast Flakes, Rice Flour, Fermented Apple Cider, Water, Lemon Juice, Castor Sugar, Leek, Butter, Fenugreek, Italian Parsley, Yoghurt, Sea Salt, Pita, Ezmesi, Hummus, Garlic Pilaf, Green Zhug",,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES
Wapiti,"Wapiti, Rapeseed Oil, Black Pepper, Yoghurt, Castor Sugar, Sea Salt, Brown Sugar, Cider Vinegar, Black Olives, Colour Stabilizer (ferrous gluconate, sterilized), Pomegranate Molasses, Sugar, Sulphites, Glucose, Cornstarch, Salt, Acidity Regulator (Citric Acid), Aleppo Pepper, Red vinegar, Antioxidant (224), Olive Oil, Oregano",,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES
Lamb Shoulder,"Lamb Shoulder, White Onion, Red Onion, Garlic, Lemon Juice, Lemon, Black Pepper, Rapeseed Oil, Fine Salt, Sumac, Nutmeg, Allspice, Cinnamon, Cardamom, Sea Salt, Canola Oil, Mango, Fenugreek, Cumin, Paprika, Turmeric, Brown Sugar, Citric Acid, Mustard Seed Brown, Milk, Stoneground White Flour, Stoneground Wholemeal Spelt Flour, Yeast",,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES
Beef Short Rib,"Beef Short rib, Milk, Milk Solids, Cream (Milk), Probiotic Cultures (Lactobacillus acidophilus and Bifidobacterium), Date, Sea Salt, Olive Oil, Parsley, Coriander, Tomato, Cumin, Red Chili, Garlic, Red vinegar, Antioxidant (224), Castor Sugar, Rosebuds, Paprika, Rapeseed Oil, Butter, Chickpea, Jasmine Rice, White Onion, Cinnamon, Paprika, Black Pepper, Cardamom",,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES
Market Fish,"Carrot, Saffron Threads, Fermented Apple Cider, Water, Fine Salt, Juice From Concentrate (Apple 59%. Orange 40.3%), Food Acid (330), Vitamin C, Flavour, Lemon Juice, Capers, Black Olives, Colour Stabilizer (ferrous gluconate, sterilized), Parsley, Dried Red Chillies, Caraway, Cumin, Coriander, Paprika, Sea Salt, Preserved Lemon, Butter, Macadamia Nuts",,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES
Falafel,"Leek, Garlic, Spring Onion, Baking Soda, Coriander, Parsley, Cumin, Black Pepper, Ground Chickpeas, Fine Salt, Chickpeas, Rapeseed Oil, White Onion, Red Capsicum, Carrot, Red Chili, Sea salt, Paprika, Lemon Juice, Tinned Capsicum, Cucumber, Red Onion, Tomato, Radish, Sumac, Dried Barberries, Dried Cranberries, Wine Vinegar, Antioxidant (224), Castor Sugar, Concentrated Grape Must, Tahini, Fermented Apple Cider, Water, Sumac, Tahin, Sesame Seeds, Water, Sugar, Nutritional yeast, Yeast Salt, Salt, Apple cider Vinegar, Mineral Salt 508, Caramalised Sugar, Vegetable protein extract, Thickeners (guar gum, Xanthan Gum), Tumeric, Bay leaf, Aleppo Pepper, Black Pepper, Green Chili, Oregano, Lentils Green, Mint, Fennel, Rocket",,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES
Baba,"Cardamom, Castor Sugar, Eggs, Butter, Milk, Fine Salt, Yeast, Flour, Coffee, Honey, Rosewater, Walnut, Dates, Yoghurt, Cream",,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES
Lemon Tart,"Sumac, Castor Sugar, Cream, Milk Stabilizers 440, 415, 410, Acid 270, Natural Flavours, Gelatin, Cultures, Stabilisers (1520, 466), Flavours, Colour (150D), Acidity Regulator (330), Preservative (202), Water, Wheat Flour, Sugar, Butter, Milk, Eggs, Salt, Cornflour, Egg, Butter, Xanthan Gum, Sea Salt, Lemon Juice, Lemon",,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES
Rocky Road,"Lime Olive Oil, Sea Salt, Rosebuds, Castor Sugar, Lemon Juice, Cornflour, Sugar, Water, Citric acid, Concentrated Blackcurrent Juice, Natural flavouring, Concentrated Raspberry Juice, Concentrated Elderberry Juice, concentrated Redcurrant Juice, Colour (129), Concentrated blackberry Juice, Concentrated Lemon Juice, Vanilla extract, Distilled water, Concentrated rose water, Natural rose flavours, Cacao, Sugar, Cocoa butter, Sunflower lecithin, Coconut Oil, Coconut Milk, Stabilizer (466), Thickener (415), Emulsifier (435), Coconut Cream, Stabilizer (466), Thickener (415), Emulsifier (435), Glucose, Hazelnut, Tahini, Dried Cranberries, Dried Apricots, Dried Prunes",,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES
Muhallebi,"Cornflour, Castor Sugar, Rosewater, Filtered Water, Ground almonds, Mineral (calcium), Emulsifier (sunflower Lecithin), Natural flavour, Salt, Mineral salt (sodium bicarbonate), Vegetable gum (gellan), Antioxidant (ascorbic acid), Vitamins (B12, B2, B1), Coconut Milk, Stabilizer (466), Thickener (415), Emulsifier (435), Dried Apple, Sugar, Acid (330), Apple flavour, Maltodextrin, Antioxidant (300), Anticaking agent (341 iii), Colour 150d, Sugar, Water, Citric acid, Concentrated Blackcurrent Juice, Natural flavouring, Concentrated Raspberry Juice, Concentrated Elderberry Juice, concentrated Redcurrant Juice, Colour (129), Concentrated blackberry Juice, Concentrated Lemon Juice, Vanilla extract",,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES
